DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,2012-2013 OVERALL GRADE,2012-2013 OVERALL SCORE,2012-13 OVERALL PERCENTILE,2012-2013 PROGRESS CATEGORY SCORE,2012-2013 PROGRESS GRADE,2012-2013 PERFORMANCE CATEGORY SCORE,"2012-2013
PERFORMANCE GRADE",2012-2013 ENVIRONMENT CATEGORY SCORE,2012-2013 ENVIRONMENT GRADE,2012-2013 COLLEGE AND CAREER READINESS SCORE,2012-2013 COLLEGE AND CAREER READINESS GRADE,2012-2013 ADDITIONAL CREDIT,2011-12 PROGRESS REPORT GRADE,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE
02M276,2,BATTERY PARK CITY SCHOOL,Theresa Ruyter,EMS,K-8,A,76.4,93.9,43.4,A,17.9,A,9.6,B,0,0,5.5,C,A,
06M187,6,P.S./I.S. 187 Hudson Cliffs,Ms. Cynthia Chory,EMS,K-8,A,66.7,81.7,42.8,A,13.5,B,6.9,C,0,0,3.5,C,B,A
02M051,2,P.S. 051 Elias Howe,Nancy Sing Bock,EMS,Elementary,A,67.2,86.6,38.3,A,15.6,A,9.4,A,0,0,3.9,C,B,B
21K096,21,I.S. 096 Seth Low,Denise Sandra Levinsky,EMS,Middle,A,68.3,76,38.2,B,16.2,B,9.5,B,0,0,4.4,C,B,B
21K238,21,P.S. 238 Anne Sullivan,Harla Joy Musoff-Weiss,EMS,K-8,A,69.6,84.8,39.4,A,13.4,B,10.3,A,0,0,6.4,C,B,B
19K218,19,J.H.S. 218 James P. Sinnott,Valena Welch Woodley,EMS,Middle,A,69.9,79.2,39.5,A,18.1,A,7.9,C,0,0,4.3,C,B,B
25Q025,25,I.S. 025 Adrien Block,Mary Ellen Beirne,EMS,Middle,A,70.9,82,40.6,A,16,B,9.4,B,0,0,4.9,C,B,B
02M289,2,I.S. 289,Ellen Foote,EMS,Middle,A,86.4,97.2,47.9,A,20.3,A,12.6,A,0,0,5.6,C,B,B
05M318,5,Thurgood Marshall Academy Lower School,Dawn Brooks Decosta,EMS,Elementary,A,61.4,77.4,40.3,A,12.9,B,6.3,B,0,0,1.9,C,B,C
03M333,3,P.S. 333 Manhattan School for Children,Susan Rappaport,EMS,K-8,A,63.5,76.8,34.4,B,16.7,A,7,C,0,0,5.4,C,B,C
31R026,31,P.S. 026 The Carteret School,Laura Kump,EMS,Elementary,A,65.7,83.4,35,B,16.4,A,12.5,A,0,0,1.8,C,B,C
12X318,12,"I.S. X318 Math, Science & Technology Through Art",Maria Lopez,EMS,Middle,A,70.6,80.9,42.8,A,12,B,9.8,B,0,0,6,C,B,C
18K366,18,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,Ingrid Thomas-Clark,EMS,Middle,A,69.7,78.9,39.1,A,13.4,B,13.2,A,0,0,3.9,C,B,
27Q318,27,WATERSIDE SCHOOL FOR LEADERSHIP,Linda Munro,EMS,Middle,A,90.3,98.9,56.1,A,17.1,A,12.5,A,0,0,4.6,C,B,
15K029,15,P.S. 029 John M. Harrigan,Rebecca Fagin,EMS,Elementary,A,60.4,75.7,29.2,B,17.4,A,9.8,A,0,0,4,C,C,A
09X323,9,Bronx Writing Academy,Kamar Samuels,EMS,Middle,A,77,89.6,49.4,A,14.7,B,7.1,C,0,0,5.8,C,C,A
22K193,22,P.S. 193 Gil Hodges,Frank A. Cimino,EMS,Elementary,A,60.6,75.9,36.9,A,14.8,B,7,B,0,0,1.9,C,C,B
11X121,11,P.S. 121 Throop,Rachel Donnelly,EMS,Elementary,A,61.3,77.1,35.9,B,13.4,B,9.5,A,0,0,2.4,C,C,B
02M150,2,P.S. 150,Jennifer Bonnet,EMS,Elementary,A,62.4,79.3,36.1,A,17.4,A,6.4,B,0,0,2.5,C,C,B
21K216,21,P.S. 216 Arturo Toscanini,Celia Kaplinsky,EMS,Elementary,A,64.9,82.3,39.8,A,14,B,7.7,B,0,0,3.4,C,C,B
02M003,2,P.S. 003 Charrette School,Lisa Siegman,EMS,Elementary,A,66.5,85.1,37.6,A,15.9,A,8.4,B,0,0,4.5,C,C,B
02M116,2,P.S. 116 Mary Lindley Murray,Jane Hsu,EMS,Elementary,A,67.7,87.5,39,A,20.3,A,6.2,B,0,0,2.2,C,C,B
06M210,6,P.S./I.S. 210 - Twenty-first Century Academy for,Evelyn Linares,EMS,K-8,A,70.8,87.2,39.4,A,14.1,B,10.8,A,0,0,6.5,C,C,B
10X159,10,P.S. 159 Luis Munoz Marin Biling,Luis Liz,EMS,Elementary,A,78.9,96.7,47.6,A,14.9,B,10.9,A,0,0,5.5,C,C,B
05M125,5,P.S. 125 Ralph Bunche,Reginald Higgins,EMS,Elementary,A,87.9,99.5,53.9,A,21.6,A,5.7,C,0,0,6.7,C,C,B
30Q085,30,P.S. 085 Judge Charles Vallone,Ann Gordon-Chang,EMS,Elementary,A,67.3,86.7,38.7,A,20.9,A,5.4,C,0,0,2.3,C,C,C
11X089,11,P.S. 089 Bronx,Ralph Martinez,EMS,K-8,A,67.5,82.9,43.5,A,9.8,C,8.5,B,0,0,5.7,C,C,C
10X118,10,J.H.S. 118 William W. Niles,Elizabeth Lawrence,EMS,Middle,A,68.6,76.4,41.1,A,16.7,A,7.3,C,0,0,3.5,C,C,C
09X303,9,I.S. X303 Leadership & Community Service,Patricia Bentley,EMS,Middle,A,70,79.8,37.4,B,14.7,B,11.9,A,0,0,6,C,C,C
05M030,5,P.S. 030 Hernandez/Hughes,Teri Stinson,EMS,Elementary,A,60.1,74.6,40.4,A,8.3,C,5.7,C,0,0,5.7,C,D,A
01M140,1,P.S. 140 Nathan Straus,Esteban Barrientos,EMS,K-8,A,63.1,75,37.8,A,10.4,C,9.3,B,0,0,5.5,C,D,B
14K582,14,M.S. 582,Brian Walsh,EMS,Middle,A,71.4,82.9,45.9,A,11.8,B,8.3,C,0,0,5.3,C,D,B
14K126,14,John Ericsson Middle School 126,Marcos Bausch,EMS,Middle,A,86.3,96.6,53,A,13.2,B,13.5,A,0,0,6.6,C,D,B
16K308,16,P.S. 308 Clara Cardwell,George Patterson,EMS,K-8,A,65.7,79.9,41.1,A,13.1,B,7.5,C,0,0,3.9,C,D,C
84X461,84,Metropolitan Lighthouse Charter School,Courtney Russell,EMS,Elementary,A,68,87.9,41.2,A,17.1,A,7.4,B,0,0,2.3,C,,
10X363,10,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,Angelo Ledda,EMS,Middle,A,74,86.8,49.5,A,7.8,C,9.9,B,0,0,6.8,C,,
84R073,84,New World Preparatory Charter School,Jamie V. Esperon,EMS,Middle,A,74.3,87.1,45.8,A,12.6,B,10.7,B,0,0,5.2,C,,
84X487,84,Girls Preparatory Charter School of the Bronx,Josie Carbone,EMS,Elementary,A,77.2,95.6,46.7,A,18.4,A,10.6,A,0,0,1.5,C,,
31R011,31,P.S. 11 Thomas Dongan School,Erica Mattera,EMS,Elementary,A,61.2,76.7,41.3,A,10.4,C,4.5,C,0,0,5,D,C,B
10X243,10,West Bronx Academy for the Future,Wilper Morales,EMS,Middle,A,67.7,75,44.7,A,9.9,C,7.4,C,0,0,5.7,D,C,C
01M110,1,P.S. 110 Florence Nightingale,Karen Feuer,EMS,Elementary,A,74.2,93.6,49,A,19.8,A,3.3,C,0,0,2.1,D,C,D
12X300,12,The School of Science and Applied Learning,Venessa Singleton,EMS,Elementary,A,68.5,88.7,44.9,A,8.9,C,9.9,A,0,0,4.8,D,D,C
84X394,84,Mott Haven Academy Charter School,Jessica Nauiokas,EMS,Elementary,A,67.9,87.7,39.7,A,15.2,B,9.5,A,0,0,3.5,D,D,
20K682,20,THE ACADEMY OF TALENTED SCHOLARS,Josephin Sportellagiusto,EMS,Elementary,A,66.9,86.2,39.4,A,16.1,A,10.3,A,0,0,1.1,D,,
19K190,19,P.S. 190 Sheffield,Stephaun Hill,EMS,Elementary,A,67.4,86.9,48.7,A,9.4,C,5.7,C,0,0,3.6,F,B,A
84X538,84,Icahn Charter School 5,Lawford Cunningham,EC,K-3,A,57.4,0,25.6,A,20.3,A,9.9,B,0,0,1.6,,,
20K748,20,P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,Ursula Annio,EC,K-3,A,62.4,0,27,A,25,A,9.4,B,0,0,1,,,
84M350,84,Democracy Preparatory Charter School,Lisa Friscia/Tanya Nunez,HS,High School,A,70.8,70.5,35.4,B,8.6,C,13.5,A,9.6,A,3.6,,,
84K775,84,Leadership Preparatory Ocean Hill Charter School,Nikki Bridges,EC,K-3,A,71.8,0,30,A,24.9,A,13.4,A,0,0,3.5,,,
84M482,84,Success Academy Charter School - Harlem 5,Khari Shabazz,EC,K-3,A,72.6,0,30,A,24.9,A,12.1,A,0,0,5.6,,,
75X176,75,P.S. X176,Rima Ritholtz,D75,D75,A,72.8,0,38.5,A,23.1,A,11.2,B,0,0,0,,,
84X494,84,Success Academy Charter School - Bronx 2,Vanessa Bangser,EC,K-3,A,73.1,0,30,A,25,A,12.1,A,0,0,5.9,,,
84X493,84,Success Academy Charter School - Bronx 1,Michele Caracappa,EC,K-3,A,73.2,0,30,A,25,A,13.1,A,0,0,5.1,,,
21K468,21,Kingsborough Early College School,Connie Hamilton,HS,High School,A,73.8,76.2,33.4,B,15.9,A,10.3,B,9.7,A,4.5,,,
09X324,9,Bronx Early College Academy for Teaching & Learning,Yvette Rivera,HS,High School,A,74.4,77.5,37.6,A,17.2,A,7.8,C,7.6,A,4.2,,,
30Q286,30,"Young Women's Leadership School, Astoria",Laura A Mitchell,HS,High School,A,74.5,77.8,39,A,15.4,A,12.9,A,5.2,C,2,,,
04M206,4,P.S. 206 Jose Celso Barbosa,Camille Forbes,EMS,K-8,A,75.3,93.3,39,A,18.4,A,12,A,0,0,5.8,,,
28Q284,28,York Early College Academy,Deborah Burnett,HS,High School,A,76.4,81.8,38.6,A,17,A,11.8,A,8.8,A,0.2,,,
11X249,11,Bronx Health Sciences High School,Miriam Rivas,HS,High School,A,76.5,82.7,33.1,B,19.4,A,12.5,A,7.1,A,4.4,,,
84K693,84,Believe Northside Charter High School,Reshma Baig,HS,High School,A,78.4,85.1,40.1,A,18,A,12.8,A,2.7,D,4.8,,,
84M999,84,KIPP NYC College Prep,Natalie Webb,HS,High School,A,78.4,85.1,41.7,A,14.8,B,12.1,A,9,A,0.8,,,
12X478,12,THE CINEMA SCHOOL,Rex Bobbish,HS,High School,A,81.4,89.2,44.6,A,17,A,11.4,B,6,B,2.4,,,
06M153,6,P.S. 153 Adam Clayton Powell,Karen Bailey,EMS,Elementary,B,49.1,41.5,23,C,15,B,9,B,0,0,2.1,A,A,A
07X043,7,P.S. 043 Jonas Bronck,Giovanna Delucchi,EMS,Elementary,B,50.7,47.4,27,C,11.3,B,8.4,B,0,0,4,A,A,A
25Q130,25,P.S. 130,Michelle Contratti,EC,K-3,B,53.5,0,24.1,B,18,B,7.8,C,0,0,3.6,A,A,A
84X255,84,Bronx Charter School for Excellence,Charlene Reid,EMS,K-8,B,53.9,43.9,19.2,C,21.5,A,11,A,0,0,2.2,A,A,A
26Q159,26,P.S. 159,Paul Didio,EMS,Elementary,B,54.8,60.7,26.6,C,15.9,A,9.7,A,0,0,2.6,A,A,A
28Q099,28,P.S. 099 Kew Gardens,Paulette Foglio,EMS,Elementary,B,54.8,60.7,29.8,B,12.7,B,9.4,A,0,0,2.9,A,A,A
26Q191,26,P.S. 191 Mayflower,Michael Ranieri,EMS,Elementary,B,55.5,62.3,27.8,C,12.6,B,12.6,A,0,0,2.5,A,A,A
32K116,32,P.S. 116 Elizabeth L Farrell,Seiw Kong,EMS,Elementary,B,56.9,65.9,33.1,B,14.9,B,6.3,B,0,0,2.6,A,A,A
02M543,2,New Design High School,Scott Conti,HS,High School,B,58.6,35.2,25.1,C,13.2,B,8.2,C,5,C,7,A,A,A
24Q877,24,The 51 Avenue Academy (The Path To Academic Exce,Dina Erstejn,EMS,Elementary,B,59.4,72.5,30.6,B,16.5,A,9.4,A,0,0,2.9,A,A,A
04M057,4,James Weldon Johnson,Lorraine Hasty,EMS,K-8,B,59.4,61,22.2,C,20.8,A,10.3,A,0,0,6.1,A,A,A
19K501,19,Franklin K. Lane Campus YABC,Rosalie Marks,YABC,YABC,B,61,0,27.5,B,12.5,B,8.5,C,5.6,B,6.9,A,A,A
84K648,84,Bedford Stuyvesant Collegiate Charter School,Mabel Lajes-Guiteras,EMS,Middle,B,62.1,61,28.4,B,16.3,B,14.7,A,0,0,2.7,A,A,A
02M288,2,Food and Finance High School,Roger Turgeon,HS,High School,B,62.2,48.5,26.8,C,15.5,A,9.3,C,5.2,B,5.4,A,A,A
25Q219,25,P.S. 219 Paul Klapper,Frederick Wright,EMS,K-8,B,63,73.8,30.2,B,15.9,B,10.8,A,0,0,6.1,A,A,A
07X343,7,Academy of Applied Mathematics and Technology,Vincent Gassetto,EMS,Middle,B,63,62.6,30.7,B,15.5,B,11.8,A,0,0,5,A,A,A
03M258,3,Community Action School - MS 258,John Curry,EMS,Middle,B,63.5,63.8,31.8,B,14.6,B,12.8,A,0,0,4.3,A,A,A
15K447,15,The Math & Science Exploratory School,Dawn Faraj,EMS,Middle,B,64.2,66.6,29.9,B,19.4,A,9.9,B,0,0,5,A,A,A
06M293,6,City College Academy of the Arts,Bernadette Drysdale,EMS,Middle,B,64.6,68.3,29.1,B,17.5,A,12.5,A,0,0,5.4,A,A,A
02M551,2,The Urban Assembly New York Harbor School,Edward Biedermann,HS,High School,B,64.9,55.8,29.9,B,10.8,C,10.4,B,5.2,B,8.6,A,A,A
15K529,15,West Brooklyn Community High School,Gloria Rosario,HST,High School Transfer,B,66.4,0,30.5,B,8.6,B,12.6,A,5.5,B,9.2,A,A,A
03M492,3,"High School for Law, Advocacy and Community Justice",Doreen Conwell,HS,High School,B,66.8,62.3,29.8,B,14.8,B,10.4,B,6.8,B,5,A,A,A
07X495,7,University Heights Secondary School,Hazel Joseph Roseboro,HS,High School,B,67.3,63.4,31,B,12.8,B,11.6,B,6,B,5.9,A,A,A
11X290,11,Bronx Academy of Health Careers,Dawn Santiago,HS,High School,B,67.3,63.7,29.1,B,12.6,B,11.4,B,7.8,A,6.4,A,A,A
17K531,17,"School for Human Rights, The",Michael Alexander,HS,High School,B,69.8,66.9,31.2,B,13.8,B,14.6,A,4,C,6.2,A,A,A
27Q487,27,John Adams Yabc,Edita Volovodovskaya,YABC,YABC,B,70.7,0,35.9,A,11.6,B,12.3,A,5.3,B,5.6,A,A,A
25Q467,25,Flushing Yabc,Siu Hei Szeto,YABC,YABC,B,74.4,0,32.2,B,15.4,A,9.5,C,9.5,A,7.7,A,A,A
08X048,8,P.S. 048 Joseph R. Drake,Roxanne Cardona,EMS,Elementary,B,49,40.7,30.3,B,11.8,B,2.8,C,0,0,4.1,A,A,B
30Q212,30,P.S. 212,Carin Ilene Ellis,EMS,Elementary,B,53,55.6,29.2,B,14.2,B,7.5,B,0,0,2.1,A,A,B
15K130,15,P.S. 130 The Parkside,Maria Nunziata,EMS,Elementary,B,54.4,59.8,29.3,B,15.1,B,7.2,B,0,0,2.8,A,A,B
24Q019,24,P.S. 019 Marino Jeantet,Genie Calibar,EMS,Elementary,B,57.4,67.1,31.2,B,15.4,B,7.5,B,0,0,3.3,A,A,B
30Q011,30,P.S. 011 Kathryn Phelan,Anna Efkarpides,EMS,Elementary,B,57.8,67.9,30.6,B,15.6,A,9.6,A,0,0,2,A,A,B
10X051,10,P.S. 051 Bronx New School,Paul Smith,EMS,Elementary,B,58.5,70,37.3,A,11.3,B,6.7,B,0,0,3.2,A,A,B
84X717,84,Icahn Charter School,Daniel Garcia,EMS,K-8,B,58.7,57.3,29.2,B,15.3,B,11.9,A,0,0,2.3,A,A,B
18K235,18,P.S. 235 Lenox School,Laurence Lord,EMS,K-8,B,58.9,57.9,26.7,C,20.5,A,8.7,B,0,0,3,A,A,B
24Q013,24,P.S. 013 Clement C. Moore,Dr. Yvonne Angelastro,EMS,Elementary,B,59.2,70.8,33.3,B,18.8,A,5.1,C,0,0,2,A,A,B
21K303,21,I.S. 303 Herbert S. Eisenberg,Carmen Amador,EMS,Middle,B,60.8,57,29.3,B,19.6,A,7.3,C,0,0,4.6,A,A,B
17K524,17,International High School at Prospect Heights,Nedda De Castro,HS,High School,B,61,45,29.3,B,10.4,C,10.6,B,3.8,C,6.9,A,A,B
13K313,13,Satellite West Middle School,Suzane Joseph,EMS,Middle,B,61.3,58.2,36.4,B,16.9,A,3.5,F,0,0,4.4,A,A,B
06M278,6,Paula Hedbavny School,Maureen Guido,EMS,K-8,B,62.8,72.6,34.2,B,14,B,11.3,A,0,0,3.3,A,A,B
21K281,21,I.S. 281 Joseph B Cavallaro,Maria Bender,EMS,Middle,B,64.6,68.3,36,B,16.9,A,7.5,C,0,0,4.2,A,A,B
14K120,14,P.S. 120 Carlos Tapia,Liza Caraballo,EMS,Elementary,B,50.3,45.9,25.4,C,9.8,C,12.2,A,0,0,2.9,A,A,C
01M188,1,P.S. 188 The Island School,Mary Pree,EMS,K-8,B,57.8,56.1,32.9,B,9.8,C,11,A,0,0,4.1,A,A,C
84K508,84,Achievement First Endeavor Charter School,Tom Kaiser/Paul Adler,EMS,Middle,B,63.1,62.9,30,B,15.9,B,12.4,A,0,0,4.8,A,A,C
24Q119,24,I.S. 119 The Glendale,Dr. Jeanne Fagan,EMS,Middle,B,63.6,64.3,31.6,B,20.1,A,8.3,C,0,0,3.6,A,A,C
84K744,84,Coney Island Preparatory Public Charter School,Jacob Mnookin,EMS,Middle,B,60,55.3,20.6,C,21.7,A,12.4,A,0,0,5.3,A,A,
18K576,18,Victory Collegiate High School,Marcel D. Deans,HS,High School,B,68.9,66.1,29.4,B,17.3,A,11.7,A,5.3,B,5.2,A,A,
04M182,4,The Bilingual Bicultural School,Andrea Hernandez,EMS,Elementary,B,49.2,42,21.9,C,16.7,A,8.3,B,0,0,2.3,A,B,A
22K245,22,P.S. 245,Pat Kannengieser,EMS,Elementary,B,49.4,42.3,21.7,C,15.6,A,10.7,A,0,0,1.4,A,B,A
10X209,10,P.S. 209,Anne Keegan,EC,K-2,B,50.5,0,18.3,B,15.7,B,13.2,A,0,0,3.3,A,B,A
15K124,15,P.S. 124 Silas B. Dutcher,Annabelle Martinez,EMS,Elementary,B,51.3,49.2,35.9,B,8.5,C,4.7,C,0,0,2.2,A,B,A
24Q153,24,P.S. 153 Maspeth Elem,Susan Bauer,EMS,Elementary,B,52.5,53.3,28.2,B,14.7,B,7.9,B,0,0,1.7,A,B,A
24Q012,24,P.S. 012 James B. Colgate,Stephanie Moskos,EMS,Elementary,B,53.5,57.1,25.1,C,14.2,B,12.2,A,0,0,2,A,B,A
12X242,12,Mott Hall V,Peter Oroszlany,EMS,Middle,B,55,44.9,28.4,B,12.2,B,9.8,B,0,0,4.6,A,B,A
07X025,7,P.S. 025 Bilingual School,Carmen Toledo,EMS,Elementary,B,57,66.1,30,B,12.9,B,9.8,A,0,0,4.3,A,B,A
30Q222,30,P.S. Q222 - Fire Fighter Christopher A. Santora,Yvonne Marrero,EC,K-2,B,57,0,26.7,A,19.1,A,6.4,C,0,0,4.8,A,B,A
30Q092,30,P.S. 092 Harry T. Stewart Sr.,Pasquale Baratta,EMS,Elementary,B,57.3,66.6,33,B,11,B,10.3,A,0,0,3,A,B,A
24Q005,24,I.S. 5 - The Walter Crowley Intermediate School,Michael Dantona,EMS,Middle,B,57.4,50,28,C,15.7,B,10.4,B,0,0,3.3,A,B,A
22K195,22,P.S. 195 Manhattan Beach,Bernadette Toomey,EMS,Elementary,B,58.2,69.3,34.8,B,15.7,A,4.8,C,0,0,2.9,A,B,A
14K488,14,Brooklyn Preparatory High School,Noah Lansner,HS,High School,B,58.5,34.4,27.5,C,12.8,B,9.7,C,4.4,C,4.1,A,B,A
21K226,21,P.S. 226 Alfred De B.Mason,Sherry Tannenbaum,EMS,K-8,B,59.2,59.8,28.1,C,15.5,B,11,A,0,0,4.5,A,B,A
10X280,10,P.S./M.S. 280 Mosholu Parkway,James Weeks,EMS,K-8,B,59.5,62.2,27.5,C,18,A,10.4,A,0,0,3.5,A,B,A
15K107,15,P.S. 107 John W. Kimball,Eve Litwack,EMS,Elementary,B,59.6,73,28.7,B,17.8,A,10,A,0,0,3.1,A,B,A
22K222,22,P.S. 222 Katherine R. Snyder,Theresa Olivieri,EMS,Elementary,B,59.7,73.6,29.1,B,17.7,A,10.5,A,0,0,2.4,A,B,A
16K498,16,Brooklyn High School for Law and Technology,Michael Prayor,HS,High School,B,60.2,39.8,27,C,10.4,C,12.8,A,4.1,C,5.9,A,B,A
12X251,12,Explorations Academy,Susana Hernandez,HS,High School,B,60.8,44.4,22.8,C,13.5,B,11.7,A,5.9,B,6.8,A,B,A
32K384,32,P.S. /I.S. 384 Frances E. Carter,Phyllis Raulli,EMS,K-8,B,62.9,73.2,31,B,15.6,B,11.7,A,0,0,4.6,A,B,A
30Q501,30,Frank Sinatra School of the Arts High School,Donna Finn,HS,High School,B,65.1,56.6,36,B,14.8,B,6.1,D,7.1,A,1,A,B,A
02M413,2,School of the Future High School,Stacy Paige Goldstein,HS,High School,B,66.1,59.9,34.6,B,13.1,B,10,B,6.3,B,2.1,A,B,A
28Q157,28,J.H.S. 157 Stephen A. Halsey,Vincent Suraci,EMS,Middle,B,66.2,71.6,34.8,B,17.2,A,9.1,B,0,0,5.1,A,B,A
13K483,13,The Urban Assembly School for Law and Justice,Shannon Curran,HS,High School,B,68.4,65.9,32.1,B,14.6,B,11.6,B,6.9,A,3.2,A,B,A
17K006,17,P.S. 006,Ellen Carlisle,EMS,Elementary,B,49.5,42.8,22.7,C,13.9,B,9.9,A,0,0,3,A,B,B
12X066,12,P.S. 066 School of Higher Expectations,Thomas Degrazia,EMS,Elementary,B,50.5,46.7,32.5,B,10.5,C,4.2,C,0,0,3.3,A,B,B
24Q016,24,P.S. Q016,Elaine Iodice,EMS,Elementary,B,51.4,49.7,22.7,C,15,B,11.5,A,0,0,2.2,A,B,B
30Q166,30,P.S. 166 Henry Gradstein,Jessica Geller,EMS,Elementary,B,52,52,27.4,C,12.7,B,9.6,A,0,0,2.3,A,B,B
20K186,20,P.S. 186 Dr. Irving A Gladstone,Bayan (Ebeid) Cadotte,EMS,Elementary,B,54.1,58.4,33.5,B,14.1,B,3.5,C,0,0,3,A,B,B
29Q095,29,P.S. 095 Eastwood,Kim Hill,EMS,Elementary,B,55.2,61.3,31,B,12.3,B,9.6,A,0,0,2.3,A,B,B
31R007,31,I.S. 007 Elias Bernstein,Nora De Rosa,EMS,Middle,B,55.6,45.5,22.4,C,18.6,A,10.5,B,0,0,4.1,A,B,B
84X705,84,Family Life Academy Charter School,Angel Rodriguez,EMS,K-8,B,56.4,51.8,23.1,C,15.2,B,14,A,0,0,4.1,A,B,B
19K089,19,P.S. 089 Cypress Hills,Irene Leon,EMS,K-8,B,57,54.9,32.2,B,8.6,C,10.8,A,0,0,5.4,A,B,B
03M243,3,M.S. 243 Center School,Elaine Schwartz,EMS,Middle,B,57.6,50.8,23.9,C,18.2,A,13.1,A,0,0,2.4,A,B,B
27Q090,27,P.S. 090 Horace Mann,Adrienne Ubertini,EMS,Elementary,B,59.3,71.8,36,A,13,B,6.4,B,0,0,3.9,A,B,B
11X455,11,Harry S Truman High School,Sana Nasser,HS,High School,B,61.3,45.8,24.2,C,11.8,B,10.5,B,5.9,B,8.9,A,B,B
09X404,9,School for Excellence,Carmen Bardeguez Brown,HS,High School,B,63.4,51.8,31.9,B,13.9,B,7.8,C,3.4,C,6.4,A,B,B
31R063,31,Marsh Avenue School for Expeditionary Learning,Jessica Jenkins-Milona,EMS,Middle,B,64.3,66.9,28.7,B,17.2,A,13.6,A,0,0,4.7,A,B,B
10X308,10,Bronx Dance Academy School,Sandra Sanchez,EMS,Middle,B,65.5,69.7,39.4,A,13.8,B,9,B,0,0,3.3,A,B,B
02M303,2,"Facing History School, The",Dana Panagot,HS,High School,B,69.5,66.7,27.7,B,12.8,B,10.8,B,7.1,A,11.1,A,B,B
10X382,10,"Elementary School for Math, Science, and Technol",Avon Connell-Cowell,EMS,Elementary,B,50,44.3,29.1,B,10.4,C,8.3,B,0,0,2.2,A,B,C
31R013,31,P.S. 013 M. L. Lindemeyer,Paul Martuccio,EMS,Elementary,B,56.5,64.9,31.9,B,15,B,7.5,B,0,0,2.1,A,B,C
09X053,9,P.S. 053 Basheer Quisim,Dr. Collin Wolfe,EMS,Elementary,B,57.9,68,34.5,B,17.3,A,1.8,D,0,0,4.3,A,B,C
08X452,8,Bronx Guild,Sam Decker,HS,High School,B,58.4,34.2,27.1,C,11,C,9.3,C,5.2,B,5.8,A,B,C
02M449,2,Vanguard High School,William Klann,HS,High School,B,62.9,49.9,26,C,11.3,C,11.3,B,5.2,B,9.1,A,B,C
09X227,9,Bronx Collegiate Academy,Darryl White,HS,High School,B,63.1,51,29.3,B,9.9,C,12.3,A,5.3,B,6.3,A,B,C
24Q457,24,HS Arts & Business Yabc,Jimmy Liu,YABC,YABC,B,70.9,0,30.4,B,16.1,A,10.8,B,6.3,A,7.3,A,B,D
11X462,11,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCH,Jamaal Bowman,EMS,Middle,B,56.6,48.3,32.2,B,9.8,C,10.8,B,0,0,3.8,A,B,
14K017,14,P.S. 017 Henry D. Woodworth,Dr. Robert Marchi,EMS,Elementary,B,51.6,50.2,26.9,C,16.5,A,4.4,C,0,0,3.8,A,C,A
31R034,31,I.S. 034 Tottenville,John Boyle,EMS,Middle,B,53.5,41,23.1,C,16.5,A,9.4,B,0,0,4.5,A,C,A
12X341,12,Accion Academy,Nikole Booker,EMS,Middle,B,64.6,68.3,33.6,B,16.2,B,9,B,0,0,5.8,A,C,A
09X063,9,P.S. 063 Author's Academy,Reinaldo Diaz-Lens,EMS,Elementary,B,56.4,64.4,25.7,C,19.2,A,7.8,B,0,0,3.7,A,C,B
11X194,11,PS/MS 194,Rosa Sifuentes-Rosado,EMS,K-8,B,59.1,59.2,35,B,14.9,B,6.1,C,0,0,3.1,A,C,B
02M305,2,"Urban Assembly Academy of Government and Law, The",David Glasner,HS,High School,B,60.8,44.4,27,C,11.8,B,8.5,C,6.1,B,7.4,A,C,B
17K531,17,"School for Human Rights, The",Michael Alexander,EMS,Middle,B,67,73.6,37.1,B,11.9,B,13.7,A,0,0,4.3,A,C,B
29Q192,29,I.S. 192 The Linden,Harriett Diaz,EMS,Middle,B,67.2,73.9,34.6,B,14.9,B,13.5,A,0,0,4.1,A,C,B
10X342,10,International School for Liberal Arts,Francine Cruz,HS,High School,B,69.9,67.5,38.7,A,9.3,C,11.1,B,4.1,C,6.6,A,C,B
31R035,31,P.S. 35 The Clove Valley School,Melissa Garofalo,EMS,Elementary,B,49.8,43.4,24,C,15.6,A,6.2,B,0,0,4,A,C,C
15K230,15,P.S. 230 Doris L. Cohen,Sharon Fiden,EMS,Elementary,B,59,70.5,32.2,B,13.7,B,10.1,A,0,0,2.9,A,C,C
03M860,3,Frederick Douglass Academy II Secondary School,Osei Owusu-Afriyie,HS,High School,B,59.3,37.7,23.6,C,11.3,C,9.2,C,8.2,A,6.9,A,C,C
84X706,84,Harriet Tubman Charter School,Cleveland Person,EMS,K-8,B,59.4,60.4,36.6,A,10.2,C,8.9,B,0,0,3.6,A,C,C
05M286,5,I.S. M286 Renaissance Military Leadership Academ,Qadir Ben Dixon,EMS,Middle,B,60.6,56.7,32.6,B,13.7,B,10.8,B,0,0,3.5,A,C,C
25Q250,25,I.S. 250 The Robert F. Kennedy Community Middle,Vincent Randazzo,EMS,Middle,B,64.1,66.3,32.1,B,18,A,10.4,B,0,0,3.6,A,C,C
