DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,2011-2012 OVERALL GRADE,2011-2012 OVERALL SCORE,2011-12 OVERALL PERCENTILE,2011-2012 PROGRESS CATEGORY SCORE,2011-2012 PROGRESS GRADE,2011-2012 PERFORMANCE CATEGORY SCORE,2011-2012 PERFORMANCE GRADE,2011-2012 ENVIRONMENT CATEGORY SCORE,2011-2012 ENVIRONMENT GRADE,2011-2012 COLLEGE AND CAREER READINESS SCORE,2011-2012 COLLEGE AND CAREER READINESS GRADE,2011-2012 ADDITIONAL CREDIT,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE
10X368,10,In-Tech Academy (M.S. / High School 368),Yvette Allen,EMS,Middle,2.51,B,51.9,41.7,26.8,C,14.6,B,7.1,C,,,3.4,B,B
10X382,10,"Elementary School for Math, Science, and Technol",Avon Connell-Cowell,EMS,Elementary,69.11,A,68.9,85.1,40.1,A,15.3,B,9.4,B,,,4.1,B,C
10X386,10,School for Environmental Citizenship,Angelyn Donald,EMS,Elementary,69.96,A,86.5,98.4,52.7,A,20.7,A,8.9,B,,,4.2,F,F
10X390,10,M.S. 390,Robert Mercedes,EMS,Middle,2.37,B,53.7,46.4,33.7,B,9.0,C,7.1,C,,,3.9,B,C
10X391,10,The Angelo Patri Middle School,Graciela Abadia,EMS,Middle,2.04,B,52.1,42.5,31.8,B,9.3,C,6.7,C,,,4.2,C,B
10X396,10,P.S. 396,Nicole Tine,EMS,Elementary,66.81,C,45.2,26.1,18.3,D,13.5,B,9.9,A,,,3.4,B,B
10X447,10,CRESTON ACADEMY,Pamela Edwards,EMS,Middle,2.16,B,53.0,45.3,24.4,C,14.2,B,10.2,A,,,4.1,C,.
10X459,10,EAST FORDHAM ACADEMY FOR THE ARTS,Tanicia Williams,EMS,Middle,2.20,C,47.9,31.5,25.1,C,12.5,C,7.0,C,,,3.3,A,.
11X016,11,P.S. 016 Wakefield,Yvonne Williams,EMS,Elementary,54.64,C,36.9,11.0,21.5,C,7.4,D,5.7,C,,,2.3,B,C
11X019,11,P.S. 019 Judith K. Weiss,Timothy P. Sullivan,EMS,K-8,22.95,B,54.9,52.5,27.1,C,13.7,B,11.4,A,,,2.7,B,C
11X021,11,P.S. 021 Philip H. Sheridan,Joyce Coleman,EMS,Elementary,59.27,C,42.9,21.8,24.9,C,8.2,D,6.9,C,,,2.9,C,C
11X041,11,P.S. 041 Gun Hill Road,Erika Tobia,EMS,Elementary,62.02,C,37.7,12.5,13.3,F,11.9,C,9.5,B,,,3.0,A,A
11X068,11,P.S. 068 Bronx,Catherine Helfrich,EMS,Elementary,56.04,C,42.9,21.8,23.4,C,10.8,C,6.2,C,,,2.5,B,B
11X076,11,P.S. 076 The Bennington School,Louise Sedotto,EMS,Elementary,53.61,C,45.4,26.2,24.1,C,12.1,C,6.6,C,,,2.5,B,A
11X078,11,P.S. 078 Anne Hutchinson,Claudina Skerritt,EMS,Elementary,59.43,C,40.3,16.7,22.9,C,7.0,D,7.8,B,,,2.6,B,C
11X083,11,P.S. 083 Donald Hertz,Claudia Macek,EMS,K-8,39.28,B,57.8,61.9,30.1,C,16.0,A,8.9,B,,,2.8,B,C
11X087,11,P.S. 087 Bronx,Donna Anaman,EMS,Elementary,52.91,C,41.3,18.4,25.5,C,7.2,D,6.4,C,,,2.2,C,C
11X089,11,P.S. 089 Bronx,Ralph Martinez,EMS,K-8,50.32,C,41.8,16.9,22.1,D,8.8,D,7.4,C,,,3.5,C,C
11X096,11,P.S. 096 Richard Rodgers,Marta Garcia,EMS,Elementary,52.01,B,55.9,55.6,29.2,C,16.5,A,8.0,B,,,2.2,B,B
11X097,11,P.S. 097 Bronx,Katheleen Bornkamp,EMS,Elementary,44.28,B,59.8,63.8,36.2,B,14.6,B,6.3,C,,,2.7,A,B
11X103,11,P.S. 103 Hector Fontanez,Farid Reyes,EMS,Elementary,57.86,C,42.1,20.0,23.8,C,9.2,C,6.6,C,,,2.5,B,B
11X105,11,P.S. 105 Sen Abraham Bernstein,Mr. Christopher Eustace,EMS,Elementary,54.13,B,57.9,60.0,34.6,B,13.0,B,6.3,C,,,4.0,C,B
11X106,11,P.S. 106 Parkchester,Eugenia Montalvo,EMS,Elementary,43.88,B,57.3,58.5,30.6,B,16.1,A,8.9,B,,,1.7,B,B
11X108,11,P.S. 108 Philip J. Abinanti,Charles Sperrazza,EMS,Elementary,34.63,C,47.8,34.6,23.2,C,16.4,A,6.4,C,,,1.8,C,C
11X111,11,P.S. 111 Seton Falls,Ava Fullenweider,EMS,Elementary,63.01,D,33.5,6.9,22.1,C,3.4,F,4.1,D,,,3.9,C,C
11X112,11,P.S. 112 Bronxwood,Susan Barnes,EMS,Elementary,63.32,C,46.2,29.7,31.8,B,4.8,F,6.2,C,,,3.3,D,A
11X121,11,P.S. 121 Throop,Rachel Donnelly,EMS,Elementary,49.27,C,48.6,36.6,24.3,C,13.2,B,9.0,B,,,2.1,C,B
11X127,11,J.H.S. 127 The Castle Hill,Harry Sherman,EMS,Middle,2.68,B,55.0,49.5,31.6,B,13.9,B,6.8,C,,,2.7,C,B
11X142,11,MS 142 John Philip Sousa,Casimiro Cibelli,EMS,Middle,2.29,C,37.3,10.8,21.9,C,8.9,D,3.6,D,,,2.9,C,C
11X144,11,J.H.S. 144 Michelangelo,Jeremy Kabinoff,EMS,Middle,2.37,D,25.7,3.9,7.3,F,8.5,D,7.5,C,,,2.4,C,C
11X153,11,P.S. 153 Helen Keller,Veronica Goka,EMS,Elementary,44.02,A,71.9,88.7,40.1,A,20.1,A,8.9,B,,,2.8,A,B
11X160,11,P.S. 160 Walt Disney,Lori Baker,EMS,Elementary,54.69,C,46.8,32.3,25.3,C,12.0,C,6.5,C,,,3.0,C,C
11X175,11,P.S. 175 City Island,Amy Lipson,EMS,K-8,19.07,C,42.6,21.3,19.0,D,14.5,B,6.9,C,,,2.2,C,C
11X178,11,P.S. 178 - Dr. Selman Waksman,Deborah Levine,EMS,Elementary,51.59,C,45.6,27.5,23.6,C,11.9,C,6.6,C,,,3.5,B,C
11X180,11,M.S. 180 Dr. Daniel Hale Williams,Frank Uzzo,EMS,Middle,2.83,C,50.1,35.6,23.7,C,15.5,B,9.4,B,,,1.5,C,B
11X181,11,I.S. 181 Pablo Casals,Christopher Warnock,EMS,Middle,2.74,C,37.4,11.1,9.5,F,16.7,A,8.9,B,,,2.3,B,B
11X189,11,Cornerstone Academy for Social Action,James Bellon,EMS,Elementary,57.97,D,35.5,9.7,21.2,D,5.8,F,6.6,C,,,1.9,C,F
11X194,11,PS/MS 194,Rosa Sifuentes-Rosado,EMS,K-8,46.39,A,64.5,76.3,39.7,A,14.0,B,7.1,C,,,3.6,C,B
11X270,11,Academy for Scholarship and Entrepreneurship: A,Zenobia White,EMS,Middle,2.44,,.,.,.,,.,,.,,,,.,D,C
11X272,11,Globe School for Environmental Research,Matthew Angell,EMS,Middle,2.33,C,39.7,14.9,21.2,D,10.3,C,5.5,C,,,2.7,C,D
11X287,11,The Forward School,Adrienne Phifer,EMS,Middle,2.05,A,73.1,85.6,44.3,A,19.5,A,4.9,D,,,4.4,B,B
11X289,11,The Young Scholars Academy of The Bronx,Jeanette Vargas,EMS,Middle,2.30,B,60.2,61.1,36.9,B,15.1,B,5.5,C,,,2.7,C,C
11X322,11,Aspire Preparatory Middle School,Steven Cobb,EMS,Middle,2.50,,.,.,.,,.,,.,,,,.,F,C
11X326,11,Bronx Green Middle School,Charles Johnson,EMS,Middle,2.45,B,59.4,59.9,34.1,B,13.9,B,7.6,C,,,3.8,B,C
11X370,11,School of Diplomacy,John Scalice,EMS,Middle,2.37,C,47.6,29.8,32.0,B,8.6,D,4.1,D,,,2.9,F,C
11X462,11,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCH,Jamaal Bowman,EMS,Middle,2.36,A,70.5,83.2,38.8,B,17.7,A,10.4,A,,,3.5,B,.
11X468,11,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGE,Anthony Rivera,EMS,Middle,2.58,A,66.9,77.1,40.2,A,15.5,B,8.3,B,,,2.8,B,.
11X498,11,PS/MS 11X498 - VAN NEST ACADEMY,Carol Gilligan,EMS,Middle,2.68,B,64.2,71.8,33.2,B,15.9,B,12.6,A,,,2.5,.,.
11X529,11,One World Middle School at Edenwald,Patricia Wynne,EMS,Middle,2.55,,.,.,.,,.,,.,,,,.,.,.
11X532,11,Baychester Middle School,Shawn Mangar,EMS,Middle,2.16,,.,.,.,,.,,.,,,,.,.,.
12X006,12,P.S. 006 West Farms,Juliet Young,EMS,Elementary,66.37,C,39.4,15.4,25.7,C,5.6,F,5.1,D,,,3.0,C,C
12X044,12,P.S. 044 David C. Farragut,Melissa Harrow,EMS,Elementary,68.54,D,26.3,3.0,13.3,F,10.2,C,1.2,F,,,1.6,C,B
12X047,12,P.S. 047 John Randolph,Thomas Guarnieri,EMS,Elementary,58.13,D,33.3,6.4,11.1,F,9.8,C,10.4,A,,,2.0,B,C
12X050,12,P.S. 050 Clara Barton,Lori Ferguson,EMS,Elementary,64.48,F,25.4,1.6,18.1,D,2.5,F,1.7,F,,,3.1,C,D
12X057,12,P.S. 057 Crescent,Edsel Philip,EMS,Elementary,66.18,C,42.6,20.8,19.9,D,16.3,A,4.2,D,,,2.2,C,B
12X061,12,P.S. 061 Francisco Oller,Patricia Quigley,EMS,Elementary,63.28,A,70.0,86.7,41.9,A,13.7,B,9.9,A,,,4.5,D,C
12X066,12,P.S. 066 School of Higher Expectations,Thomas Degrazia,EMS,Elementary,68.54,A,65.1,76.1,35.8,B,16.8,A,9.5,B,,,3.0,B,B
12X067,12,P.S. 067 Mohegan School,Emily Grimball,EMS,Elementary,66.26,B,62.8,71.2,36.9,B,15.7,B,6.0,C,,,4.2,B,C
12X092,12,P.S. 092 Bronx,Manuel Estrella,EMS,Elementary,70.12,C,38.0,13.1,28.0,C,4.2,F,1.4,F,,,4.4,C,B
12X098,12,J.H.S. 098 Herman Ridder,Claralee Irobunda,EMS,Middle,2.14,A,84.1,95.3,53.6,A,18.0,A,7.4,C,,,5.1,C,A
12X102,12,P.S. 102 Joseph O. Loretan,Tanyua Trezevantte,EMS,Elementary,62.26,,.,.,.,,.,,.,,,,.,.,C
12X129,12,P.S. 129 Twin Parks Upper,Yvette Beasley,EMS,Middle,2.20,B,58.3,57.5,30.5,C,15.5,B,8.4,B,,,3.8,B,B
12X134,12,P.S. 134 George F. Bristow,Kenneth Thomas,EMS,Elementary,62.16,C,43.9,23.0,26.8,C,10.9,C,4.2,D,,,2.0,C,B
12X150,12,P.S. 150 Charles James Fox,Edwin Irizarry,EMS,Elementary,66.21,B,51.9,43.6,26.9,C,12.4,B,9.8,A,,,2.8,B,A
12X190,12,E.S.M.T- I.S. 190,Dianajade Santiago,EMS,Middle,2.33,A,69.1,80.1,41.6,A,13.9,B,9.0,B,,,4.5,C,B
12X195,12,P.S. 195,Andrew Kavanagh,EMS,Elementary,65.20,C,40.8,17.5,21.5,C,9.5,C,7.4,B,,,2.4,C,C
12X196,12,P.S. 196,Lizzette Rivera,EMS,Elementary,62.10,A,69.4,85.7,38.6,B,18.5,A,8.5,B,,,3.8,C,B
12X198,12,P.S. 198,Ronnie Nelson,EMS,Middle,2.29,,.,.,.,,.,,.,,,,.,.,.
12X211,12,P.S. 211,Betty Gonzalez-Soto,EMS,K-8,66.07,C,46.2,29.4,22.2,D,11.2,C,7.7,B,,,5.1,B,A
12X212,12,P.S. 212,Donna Pickell Ridley,EMS,K-8,63.00,C,45.4,27.5,22.5,C,10.6,C,9.0,B,,,3.3,B,C
12X214,12,P.S. 214,David Cintron,EMS,K-8,59.40,B,63.5,73.1,35.5,B,14.4,B,8.7,B,,,4.9,B,B
12X217,12,School of Performing Arts,Seth Litt,EMS,Middle,2.11,B,51.9,41.2,29.1,C,12.1,C,8.1,B,,,2.6,C,A
12X242,12,Mott Hall V,Peter Oroszlany,EMS,Middle,2.41,A,77.1,90.1,46.4,A,18.4,A,7.5,C,,,4.7,B,A
12X245,12,New Day Academy,Mara Ganeles,EMS,Middle,2.06,,.,.,.,,.,,.,,,,.,.,C
12X267,12,Bronx Latin,Leticia Pineiro,EMS,Middle,2.23,A,69.6,80.9,32.7,B,21.8,A,10.8,A,,,4.2,A,A
12X271,12,East Bronx Academy for the Future,Sarah Scrogin,EMS,Middle,2.10,B,55.5,51.1,26.9,C,16.2,B,7.7,B,,,4.7,C,B
12X273,12,Frederick Douglass Academy V. Middle School,Deborah Cimini,EMS,Middle,2.32,B,58.7,58.8,27.8,C,18.8,A,9.1,B,,,2.9,B,B
12X286,12,Fannie Lou Hamer Middle School,Lorraine Chanon,EMS,Middle,2.14,B,64.1,71.6,34.9,B,15.3,B,10.9,A,,,3.0,C,A
12X300,12,The School of Science and Applied Learning,Venessa Singleton,EMS,Elementary,68.32,D,34.0,7.7,19.3,D,3.1,F,9.2,B,,,2.4,D,C
12X316,12,Kappa III,Elisa Alvarez,EMS,Middle,2.43,B,64.5,73.2,31.6,B,18.5,A,11.5,A,,,2.9,A,A
12X318,12,"I.S. X318 Math, Science & Technology Through Art",Maria Lopez,EMS,Middle,2.16,C,39.8,15.2,18.3,D,11.3,C,6.5,C,,,3.6,B,C
12X341,12,Accion Academy,Nikole Booker,EMS,Middle,2.03,A,69.1,80.4,39.7,A,17.1,A,7.3,C,,,5.0,C,A
12X372,12,Urban Assembly School for Wildlife Conservation,Mark Ossenheimer,EMS,Middle,2.39,A,70.1,82.3,44.4,A,14.8,B,7.8,B,,,3.1,D,C
12X383,12,Emolior Academy,Derick Spaulding,EMS,Middle,2.11,C,41.8,17.7,15.9,D,10.8,C,11.9,A,,,3.2,C,B
12X384,12,Entrada Academy,Socorro Diaz,EMS,Middle,2.28,C,45.1,24.6,22.9,C,9.4,C,8.9,B,,,3.9,C,A
12X463,12,URBAN SCHOLARS COMMUNITY SCHOOL,Debra Clarke-Jones,EMS,Elementary,67.00,D,32.0,5.9,15.4,D,4.6,F,9.5,B,,,2.5,F,.
12X691,12,Bronx Little School,Janice Gordon,EMS,Elementary,56.50,B,53.4,49.0,32.7,B,10.8,C,6.5,C,,,3.4,A,C
13K003,13,P.S. 003 The Bedford Village,Kristina Beecher,EMS,Elementary,55.39,C,42.4,20.2,20.4,D,11.6,C,9.1,B,,,1.2,C,C
13K008,13,P.S. 008 Robert Fulton,Seth Phillips,EMS,Elementary,16.95,B,52.5,46.2,26.5,C,15.8,B,8.3,B,,,1.9,C,C
13K009,13,P.S. 009 Teunis G. Bergen,Sandra D'avilar,EMS,Elementary,44.69,B,64.0,73.4,35.5,B,16.6,A,9.2,B,,,2.6,C,C
13K011,13,P.S. 011 Purvis J. Behan,Alonta Wrighton,EMS,Elementary,43.98,A,72.8,90.2,41.2,A,20.5,A,9.6,B,,,1.4,B,B
13K020,13,P.S. 020 Clinton Hill,L Barbera,EMS,Elementary,46.55,C,43.8,22.8,22.7,C,12.9,B,6.7,C,,,1.5,B,C
13K044,13,P.S. 044 Marcus Garvey,Valerie Taylor,EMS,Elementary,59.00,B,50.8,41.8,25.7,C,14.5,B,8.2,B,,,2.3,B,B
13K046,13,P.S. 046 Edward C. Blum,Karyn Nicholson,EMS,Elementary,62.66,B,61.6,68.5,39.2,A,12.9,B,4.6,D,,,4.9,A,A
13K054,13,P.S. 054 Samuel C. Barnes,Lorna Khan,EMS,Elementary,64.25,B,59.6,63.6,35.7,B,11.7,C,8.2,B,,,4.0,C,C
13K056,13,P.S. 056 Lewis H. Latimer,Deborah Clark-Johnson,EMS,Elementary,58.60,B,49.9,40.0,22.1,C,15.9,B,10.4,A,,,1.5,A,B
13K067,13,P.S. 067 Charles A. Dorsey,Temica Francis,EMS,Elementary,63.50,D,35.2,9.3,20.7,D,5.4,F,5.5,C,,,3.6,D,C
13K093,13,P.S. 093 William H. Prescott,Sandra Philip,EMS,Elementary,53.83,A,68.5,83.9,46.2,A,12.8,B,5.6,C,,,3.9,B,C
13K103,13,Satellite Three,Beatrice Thompson,EMS,Middle,2.45,,.,.,.,,.,,.,,,,.,D,C
13K113,13,M.S. 113 Ronald Edmonds Learning Center,Dawnique Daughtry,EMS,Middle,2.65,D,36.1,9.7,16.9,D,11.0,C,6.3,C,,,1.9,D,C
13K133,13,P.S. 133 William A. Butler,Heather Foster-Mann,EMS,Elementary,53.39,B,62.6,70.8,36.9,B,12.0,C,8.5,B,,,5.2,B,C
13K256,13,P.S. 256 Benjamin Banneker,Sharyn Hemphill,EMS,Elementary,63.20,B,54.6,52.3,33.1,B,12.3,C,6.6,C,,,2.6,F,C
13K265,13,Dr. Susan S. McKinney Secondary School of the Ar,Paula Holmes,EMS,Middle,2.01,B,56.8,54.1,28.7,C,17.9,A,6.9,C,,,3.3,B,C
13K266,13,M.S. K266 - Park Place Community Middle School,Michele Robinson,EMS,Middle,2.61,D,23.5,3.3,2.5,F,10.7,C,8.6,B,,,1.7,C,C
13K270,13,P.S. 270 Johann DeKalb,Mitra Lutchman,EMS,Elementary,60.57,D,27.2,3.1,9.2,F,10.4,C,7.3,C,,,0.3,C,A
13K282,13,P.S. 282 Park Slope,Magalie Alexis,EMS,K-8,45.60,B,60.9,67.5,36.0,B,16.9,A,5.5,D,,,2.4,C,B
13K287,13,P.S. 287 Bailey K. Ashford,Ms. Michele Rawlins,EMS,Elementary,63.29,C,40.8,17.5,28.6,C,5.5,F,2.4,F,,,4.3,B,B
13K301,13,Satellite East Middle School,Kim Mcpherson,EMS,Middle,2.41,D,29.0,5.0,11.1,F,8.0,D,8.0,B,,,1.9,B,D
13K305,13,P.S. 305 Dr. Peter Ray,Dr. Julia Mortley,EMS,Elementary,59.80,D,30.8,5.1,19.1,D,5.4,F,3.5,F,,,2.8,C,C
13K307,13,P.S. 307 Daniel Hale Williams,Roberta Davenport,EMS,Elementary,61.27,B,58.4,60.8,35.1,B,11.2,C,7.8,B,,,4.3,C,C
13K313,13,Satellite West Middle School,Suzane Joseph,EMS,Middle,2.08,A,68.4,79.0,40.9,A,19.0,A,5.2,D,,,3.3,A,B
13K336,13,Academy of Business and Community Development,Simone A. Mcintosh,EMS,Middle,2.45,,.,.,.,,.,,.,,,,.,D,D
13K492,13,Urban Assembly Academy of Arts and Letters,Allison Gaines Pell,EMS,Middle,2.91,C,51.5,39.8,22.0,C,16.1,B,11.1,A,,,2.3,B,B
13K527,13,Urban Assembly Institute of Math and Science for,Kiri Soares,EMS,Middle,2.86,D,31.0,6.9,11.8,F,12.7,C,5.2,D,,,1.2,B,D
13K571,13,M.S. 571,Santosha Troutman,EMS,Middle,1.79,,.,.,.,,.,,.,,,,.,.,D
13K596,13,Knowledge and Power Preparatory Academy VII Midd,Lisa Reiter,EMS,Middle,2.30,F,13.4,0.3,6.5,F,3.3,F,1.7,F,,,1.9,F,D
13K691,13,FORT GREENE PREPARATORY ACADEMY,Paula Lettiere,EMS,Middle,2.46,B,64.1,71.6,37.5,B,13.6,B,10.3,A,,,2.6,.,.
14K016,14,P.S. 016 Leonard Dunkly,Mary Renny,EMS,Elementary,60.87,B,54.0,51.0,31.0,B,10.9,C,8.9,B,,,3.2,C,C
14K017,14,P.S. 017 Henry D. Woodworth,Dr. Robert Marchi,EMS,Elementary,59.12,A,74.3,91.5,43.7,A,16.9,A,7.9,B,,,5.8,C,A
14K018,14,P.S. 018 Edward Bush,Karen Ford,EMS,Elementary,59.74,B,54.9,52.8,27.6,C,15.5,B,8.5,B,,,3.3,C,B
14K019,14,P.S. 019 Roberto Clemente,Maria Witherspoon,EMS,Elementary,66.63,,.,.,.,,.,,.,,,,.,F,D
14K023,14,P.S. 023 Carter G. Woodson,Sharon Meade,EMS,Elementary,67.05,C,46.3,30.0,20.6,D,8.0,D,13.4,A,,,4.3,B,A
14K031,14,P.S. 031 Samuel F. Dupont,Mary J. Scarlato,EMS,Elementary,35.18,A,91.3,98.9,51.3,A,24.9,A,11.4,A,,,3.7,A,A
14K034,14,P.S. 034 Oliver H. Perry,Alicja Winnicki,EMS,Elementary,23.73,B,49.8,39.5,16.5,D,20.2,A,12.1,A,,,1.0,A,B
14K050,14,J.H.S. 050 John D. Wells,Denise Jamison,EMS,Middle,1.96,B,59.1,59.7,38.0,B,10.6,C,5.1,D,,,5.4,C,B
14K059,14,P.S. 059 William Floyd,Dawn Best,EMS,Elementary,61.60,C,46.4,30.3,33.5,B,3.5,F,5.0,D,,,4.4,C,C
14K071,14,Juan Morel Campos Secondary School,Howard Fineman,EMS,Middle,1.94,B,51.8,40.9,30.7,C,10.9,C,6.5,C,,,3.6,C,B
14K084,14,P.S. 084 Jose De Diego,Sereida Rodriguez,EMS,Elementary,56.64,B,59.4,63.0,37.8,B,8.1,D,8.5,B,,,5.0,B,C
14K110,14,P.S. 110 The Monitor,Anna Cano Amato,EMS,Elementary,34.34,B,50.6,41.5,26.7,C,8.4,D,12.9,A,,,2.6,C,C
14K120,14,P.S. 120 Carlos Tapia,Liza Caraballo,EMS,Elementary,63.52,A,64.7,75.1,33.7,B,15.2,B,11.9,A,,,3.9,A,C
14K126,14,John Ericsson Middle School 126,Marcos Bausch,EMS,Middle,1.87,C,44.9,23.8,25.0,C,9.2,C,6.8,C,,,3.9,D,B
14K132,14,P.S. 132 The Conselyea School,Beth Lubeck,EMS,Elementary,37.78,A,86.4,98.2,50.2,A,22.5,A,10.0,A,,,3.7,C,B
14K147,14,P.S. 147 Isaac Remsen,Sandra Noyola,EMS,Elementary,61.34,A,71.9,88.7,40.1,A,16.8,A,10.3,A,,,4.7,B,A
14K157,14,P.S. 157 Benjamin Franklin,Maribel Torres,EMS,Elementary,65.48,B,52.1,44.6,28.0,C,9.4,C,11.5,A,,,3.1,B,B
14K196,14,P.S. 196 Ten Eyck,Janine Colon,EMS,Elementary,63.80,A,85.0,97.1,44.8,A,22.7,A,12.1,A,,,5.4,C,A
14K250,14,P.S. 250 George H. Lindsay,Nora Barnes,EMS,Elementary,50.83,C,47.1,33.0,23.8,C,13.4,B,8.0,B,,,1.8,B,B
14K257,14,P.S. 257 John F. Hylan,Brian Leavy-Devale,EMS,Elementary,63.36,A,96.5,99.2,53.4,A,22.9,A,13.6,A,,,6.5,A,A
14K297,14,P.S. 297 Abraham Stockton,James Brown,EMS,Elementary,63.80,B,58.9,61.8,36.9,B,10.8,C,7.7,B,,,3.5,B,C
14K318,14,I.S. 318 Eugenio Maria De Hostos,Leander Windley,EMS,Middle,3.08,B,55.8,52.5,26.6,C,13.7,B,13.0,A,,,2.5,C,C
14K330,14,The Urban Assembly School for the Urban Environm,Kourtney Boyd,EMS,Middle,1.86,C,39.7,14.9,29.1,C,3.6,F,3.1,F,,,3.9,B,C
14K380,14,P.S. 380 John Wayne Elementary,Diane Vitolo,EMS,Elementary,58.68,A,77.7,94.3,37.8,B,23.6,A,13.1,A,,,3.2,A,A
14K577,14,Conselyea Preparatory School,Maria Masullo,EMS,Middle,2.92,A,78.3,90.9,45.8,A,17.6,A,10.5,A,,,4.4,B,B
14K582,14,M.S. 582,Brian Walsh,EMS,Middle,2.24,C,43.5,21.3,18.1,D,14.1,B,7.4,C,,,3.9,D,B
14K586,14,Lyons Community School,Taeko Onishi,EMS,Middle,2.09,C,47.8,30.9,23.4,C,13.3,B,8.6,B,,,2.5,B,C
14K614,14,Young Women's Leadership School of Brooklyn,Talana Bradley,EMS,Middle,2.64,C,50.0,35.4,21.9,C,15.8,B,9.6,B,,,2.7,A,C
15K001,15,P.S. 001 The Bergen,Jennifer Eusanio,EMS,Elementary,61.09,C,49.2,37.7,24.1,C,15.0,B,7.4,B,,,2.7,B,C
15K010,15,"Magnet School of Math, Science and Design Techno",Laura Scott,EMS,Elementary,37.75,A,74.6,91.8,38.3,B,21.2,A,11.4,A,,,3.7,B,A
15K015,15,P.S. 015 Patrick F. Daly,Peggy Wyns-Madison,EMS,Elementary,65.27,A,85.2,97.2,46.7,A,22.3,A,9.3,B,,,6.9,B,A
15K024,15,P.S. 024,Christina Fuentes,EMS,Elementary,61.90,C,42.0,19.7,22.3,C,7.7,D,8.7,B,,,3.2,B,C
15K029,15,P.S. 029 John M. Harrigan,Melanie Raneri Woods,EMS,Elementary,15.66,C,49.1,37.5,21.4,D,16.0,B,9.4,B,,,2.3,C,A
15K032,15,P.S. 032 Samuels Mills Sprole,Deborah Ann Florio,EMS,Elementary,56.19,A,68.9,85.1,38.9,A,15.3,B,7.6,B,,,7.1,C,A
15K038,15,P.S. 038 The Pacific,Yolanda Ramirez,EMS,Elementary,50.47,B,55.2,53.8,28.5,C,16.4,A,7.5,B,,,2.8,C,C
15K039,15,P.S. 039 Henry Bristow,Anita De Paz,EMS,Elementary,20.58,B,58.0,60.2,26.7,C,18.9,A,9.9,A,,,2.5,B,B
15K051,15,M.S. 51 William Alexander,Lenore Berner,EMS,Middle,3.40,B,51.9,41.7,21.6,D,19.0,A,9.4,B,,,1.9,A,A
15K058,15,P.S. 058 The Carroll,Giselle Mcgee,EMS,Elementary,16.85,B,57.3,58.5,29.6,C,16.1,A,9.0,B,,,2.6,B,A
15K088,15,J.H.S. 088 Peter Rouget,Ailene Altman Mitchell,EMS,Middle,2.36,B,55.6,51.7,21.3,D,19.7,A,10.4,A,,,4.1,A,B
15K094,15,P.S. 094 The Henry Longfellow,Janette Caban,EMS,Elementary,43.24,D,31.2,5.4,15.0,F,7.6,D,6.2,C,,,2.4,B,B
15K107,15,P.S. 107 John W. Kimball,Eve Litwack,EMS,Elementary,13.60,A,65.6,77.4,33.2,B,18.5,A,10.7,A,,,3.2,B,A
15K124,15,P.S. 124 Silas B. Dutcher,Annabelle Martinez,EMS,Elementary,51.34,A,66.2,78.7,39.1,A,14.6,B,9.8,A,,,2.7,B,A
15K130,15,P.S. 130 The Parkside,Maria Nunziata,EMS,Elementary,42.22,A,72.6,89.8,39.1,A,20.5,A,9.6,B,,,3.4,A,B
15K131,15,P.S. 131 Brooklyn,Ruth Quiles,EMS,Elementary,47.53,A,68.2,83.1,39.7,A,15.4,B,9.5,B,,,3.6,A,A
15K136,15,I.S. 136 Charles O. Dewey,Eric Sackler,EMS,Middle,2.04,B,61.0,63.8,34.2,B,12.5,C,9.4,B,,,4.9,B,C
15K146,15,P.S. 146,Anna Allanbrook,EMS,Elementary,32.82,A,67.1,80.7,28.5,C,21.6,A,11.4,A,,,5.6,A,B
15K154,15,Magnet School for Science & Technology,Samuel Ortiz,EMS,Elementary,20.73,C,48.0,35.6,17.9,D,19.0,A,8.6,B,,,2.5,A,C
15K169,15,P.S. 169 Sunset Park,Josephine Santiago,EMS,Elementary,44.75,B,60.6,65.6,35.4,B,12.6,B,8.7,B,,,3.9,C,B
15K172,15,P.S. 172 Beacon School of Excellence,Jack Spatola,EMS,Elementary,57.52,A,102.2,100.0,58.1,A,25.0,A,12.4,A,,,6.7,A,A
15K230,15,P.S. 230 Doris L. Cohen,Sharon Fiden,EMS,Elementary,38.71,A,67.0,80.5,37.3,B,15.1,B,11.1,A,,,3.5,C,C
15K261,15,P.S. 261 Philip Livingston,Zipporiah Mills,EMS,Elementary,34.97,C,39.2,15.1,19.2,D,10.5,C,6.9,C,,,2.6,C,B
15K295,15,P.S. 295,Deanna Marco,EMS,Elementary,45.10,B,63.2,71.6,32.6,B,16.7,A,10.4,A,,,3.5,A,A
15K321,15,P.S. 321 William Penn,Elizabeth Phillips,EMS,Elementary,12.02,B,50.5,41.2,19.4,D,18.7,A,10.9,A,,,1.5,A,A
15K418,15,The Children's School,Arthur Mattia,EMS,Elementary,13.45,B,55.9,55.6,25.5,C,19.2,A,8.6,B,,,2.6,A,A
