the_geom,ats_code,boro,boronum,loc_code,schoolname,sch_type,managed_by,geo_distri,admin_dist,address,state_code,zip,principal,prin_ph,fax,grades,city,cartodb_id,created_at,updated_at
0101000020E6100000D8EDD6BD267D52C031A45876F5634440,75M169      ,M,1,M169,P.S. M169 - ROBERT F. KENNEDY,K-12 all grades,1,2,75,110 EAST  88 STREET,NY,10128,SUSAN FINN,212-348-6140,212-996-8245,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",MANHATTAN,494,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000005616EA31E87C52C0CE0D440B69654440,04M171      ,M,1,M171,P.S. 171 PATRICK HENRY,K-8,1,4,4,19 EAST 103 STREET,NY,10029,DIMITRES PANTELIDIS,212-860-5801,212-860-6079,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,495,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000876DC88B2B7C52C02B256ED7376C4440,06M173      ,M,1,M173,P.S. 173,Elementary,1,6,6,306 FORT WASHINGTON AVENUE,NY,10033,DAWN BOURSIQUOT,212-927-7850,212-740-0905,"PK,0K,01,02,03,04,05,SE",MANHATTAN,496,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000251AF6A4587C52C0FC22BDCE3B684440,05M175      ,M,1,M175,P.S. 175 HENRY H GARNET,Elementary,1,5,5,175 WEST 134 STREET,NY,10030,CHERYL MCCLENDON,212-283-0426,212-286-6319,"PK,0K,01,02,03,04,05,SE",MANHATTAN,497,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000A184CF1B667B52C096C7B7ADFD6D4440,06M178      ,M,1,M178,PROFFESOR JUAN BOSCH PUBLIC SCHOOL,Early Childhood,1,6,6,12-18 ELLWOOD STREET,NY,10040,DEIRDRE BUDD,212-569-0327,212-569-0389,"0K,01,02,SE",MANHATTAN,498,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000005EA2D9412C7D52C004D9B2A863674440,03M180      ,M,1,M180,P.S. 180 HUGO NEWMAN,K-8,1,3,3,370 WEST 120 STREET,NY,10027,PETER MCFARLANE,212-678-2849,212-665-1572,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,499,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000000F4A58614D7C52C04EE97EDB8A654440,04M182      ,M,1,M182,THE BILINGUAL BICULTURAL SCHOOL,Elementary,1,4,4,219 EAST 109 STREET,NY,10029,ANDREA HERNANDEZ,212-860-6031,212-860-4536,"0K,01,02,03,04,05",MANHATTAN,500,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000638C1C624C7D52C083B157B0C2614440,02M183      ,M,1,M183,P.S. 183 ROBERT L. STEVENSON,Elementary,1,2,2,419 EAST  66 STREET,NY,10065,Tara Napoleoni,212-734-7719,212-861-8314,"0K,01,02,03,04,05,SE",MANHATTAN,501,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000009C7A69C7167F52C0A8FD2E620D5B4440,01M184      ,M,1,M184,P.S. 184M SHUANG WEN,K-8,1,1,1,327 CHERRY STREET,NY,10002,LING LING CHOU,212-602-9700,212-602-9710,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,502,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000957A094BC17C52C01557539E2E664440,03M185      ,M,1,M185,P.S. 185 JOHN M. LANGSTON,Early Childhood,1,3,3,20 WEST 112 STREET,NY,10026,JANE MURPHY,212-534-7490,212-831-8613,"PK,0K,01,02,SE",MANHATTAN,503,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000CDDF4792F97B52C005182CDB996D4440,06M187      ,M,1,M187,P.S. 187 HUDSON CLIFFS,K-8,1,6,6,349 CABRINI BOULEVARD,NY,10040,Ms. Cynthia Chory,212-927-8218,212-795-9119,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,504,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000001E388C6F8E7E52C018CBE756295C4440,01M188      ,M,1,M188,P.S. 188 THE ISLAND SCHOOL,K-8,1,1,1,442 EAST HOUSTON STREET,NY,10002,MARY PREE,212-677-5710,212-228-3007,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,505,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000E27A4F40617B52C06971D3B92C6D4440,06M189      ,M,1,M189,P.S. 189,Elementary,1,6,6,2580 AMSTERDAM AVENUE,NY,10040,THERESA LUGER,212-927-8303,212-928-7733,"PK,0K,01,02,03,04,05,SE",MANHATTAN,506,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000008F041F5E337F52C0F242CC69CA624440,03M191      ,M,1,M191,P.S. 191 AMSTERDAM,Elementary,1,3,3,210 WEST  61 STREET,NY,10023,MARIA VERDESOTO,212-757-4343,212-757-1022,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,507,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000B4C38690F47C52C0838F944111694440,06M192      ,M,1,M192,P.S. 192 JACOB H. SCHIFF,Elementary,1,6,6,500 WEST 138 STREET,NY,10031,Deborah Schaefer,212-281-8395,212-862-7129,"PK,0K,01,02,03,04,05,SE",MANHATTAN,508,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000E0EF53953A7C52C076BEC14523694440,05M194      ,M,1,M194,P.S. 194 COUNTEE CULLEN,Elementary,1,5,5,244 WEST 144 STREET,NY,10030,Charyn Koppelson Cleary,212-690-5954,212-862-5743,"0K,01,02,03,04,05,SE",MANHATTAN,509,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000413B830E407D52C0E738E054E4684440,05M195      ,M,1,M195,I.S. 195 ROBERTO CLEMENTE,Junior High-Intermediate-Middle,1,5,5,625 WEST 133 STREET,NY,10027,ROSARIE JEAN,212-690-5848,212-690-5999,"06,07,08,SE",MANHATTAN,510,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000EA2AD218017C52C0FB1523B01A684440,05M197      ,M,1,M197,P.S. 197 JOHN B. RUSSWURM,Elementary,1,5,5,2230 5 AVENUE,NY,10037,RENARDO WRIGHT,212-690-5960,212-690-5959,"PK,0K,01,02,03,04,05,SE",MANHATTAN,511,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000006B099FAACA7C52C08E0F1D147C644440,02M198      ,M,1,M198,P.S. 198 ISADOR E. IDA STRAUS,Elementary,1,2,2,1700 3 AVENUE,NY,10128,SHARON JEFFREY ROEBUCK,212-289-3702,212-410-1731,"PK,0K,01,02,03,04,05,SE",MANHATTAN,512,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000CF317A14057F52C040398D7190634440,03M199      ,M,1,M199,P.S. 199 JESSIE ISADOR STRAUS,Elementary,1,3,3,270 WEST  70 STREET,NY,10023,KATY ROSEN,212-799-1033,212-799-1179,"0K,01,02,03,04,05,SE",MANHATTAN,513,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000090469973EF7B52C083018AA483694440,05M200      ,M,1,M200,P.S. 200- THE JAMES MCCUNE SMITH SCHOOL,Elementary,1,5,5,2589 7 AVENUE,NY,10039,Renee Y. Belton,212-491-6636,212-491-6925,"PK,0K,01,02,03,04,05,SE",MANHATTAN,514,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000011FEFA24867B52C05184BF7B00664440,04M206      ,M,1,M206,P.S. 206 JOSE CELSO BARBOSA,Elementary,1,4,4,508 EAST 120 STREET,NY,10035,MYRNA RODRIGUEZ,212-860-5809,212-860-6080,"03,04,05,SE",MANHATTAN,515,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000CD762407CF7C52C04C8119E639664440,03M208      ,M,1,M208,P.S. 208 ALAIN L. LOCKE,Elementary,1,3,3,21 WEST 111 STREET,NY,10026,Susan M. Green,212-534-9580,212-534-8227,"03,04,05,SE",MANHATTAN,516,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000A2F19950467F52C04BC14AB378614440,02M212      ,M,1,M212,P.S. 212 MIDTOWN WEST,Elementary,1,2,2,328 WEST  48 STREET,NY,10036,DEAN KETCHUM,212-247-0208,212-757-4933,"0K,01,02,03,04,05,SE",MANHATTAN,517,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000C56EF971B07C52C0EE19C232CA614440,02M217      ,M,1,M217,P.S./I.S. 217 ROOSEVELT ISLAND,K-8,1,2,2,645 MAIN STREET,NY,10044,MANDANA BECKMAN,212-980-0294,212-980-1192,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,518,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000004FAE69BC877B52C0578BA6CC2D6E4440,06M218      ,M,1,M218,I.S. 218 SALOME URENA,Junior High-Intermediate-Middle,1,6,6,4600 BROADWAY,NY,10040,JUNE BARNETT,212-567-2322,212-569-7221,"06,07,08,SE",MANHATTAN,519,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000A22339CFF77C52C06631986E69684440,06M223      ,M,1,M223,THE MOTT HALL SCHOOL,Junior High-Intermediate-Middle,1,6,6,71-111 CONVENT AVE,NY,10027,CYNTHIA ARNDT,212-281-5028,212-491-3451,"06,07,08,SE",MANHATTAN,520,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000869341ED4F7C52C0B0FF8C9F84644440,04M224      ,M,1,M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMIC,Junior High-Intermediate-Middle,1,4,4,410 EAST 100 STREET,NY,10029,Liliana Sarro,212-860-6047,212-410-0678,"06,07,08,SE",MANHATTAN,521,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000005493AEAD687D52C0E318D28FF7614440,02M225      ,M,1,M225,ELLA BAKER SCHOOL,K-8,1,2,2,317 EAST  67 STREET,NY,10065,LAURA GARCIA,212-717-8809,212-717-8807,"PK,0K,01,02,03,04,05,06,07,08",MANHATTAN,522,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000005AD617C9E47E52C0965B8C52C35D4440,75M226      ,M,1,M226,P.S. M226,K-12 all grades,1,2,75,345 EAST  15TH STREET,NY,10003,DANIA CHEDDIE,212-477-5017,212-477-5164,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",MANHATTAN,523,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000062E1F7DCBA8052C057265F30A55B4440,02M234      ,M,1,M234,P.S. 234 INDEPENDENCE SCHOOL,Elementary,1,2,2,292 GREENWICH STREET,NY,10007,LISA RIPPERGER,212-233-6034,212-374-1719,"0K,01,02,03,04,05,SE",MANHATTAN,524,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000429417532B7D52C0C28D7413A3664440,03M241      ,M,1,M241,P.S. 241 FAMILY ACADEMY,K-8,1,3,3,240 WEST 113 STREET,NY,10026,DIANA DIAZ,212-678-2898,212-678-2975,"0K,01,02,03,04,05,08,SE",MANHATTAN,525,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000007CB6E64B57C52C0D157DCA834674440,03M242      ,M,1,M242,P.S. M242 -  GWENDOLYN POWELL BROWN COMPUTER SCHOO,Elementary,1,3,3,134 WEST 122 STREET,NY,10027,DENISE GOMEZ,212-678-2908,212-678-2927,"0K,01,02,03,04,05,SE",MANHATTAN,526,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000003537571E937E52C023E93403F6634440,03M245      ,M,1,M245,M.S. M245 THE COMPUTER SCHOOL,Junior High-Intermediate-Middle,1,3,3,100 WEST  77 STREET,NY,10024,HENRY ZYMECK,917-441-0873,212-678-5908,"06,07,08,SE",MANHATTAN,527,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000F5BFBC32F27D52C0615559BF0B654440,03M247      ,M,1,M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,Junior High-Intermediate-Middle,1,3,3,32 WEST  92 STREET,NY,10025,CLAUDIA AGUIRRE,212-799-2653,212-579-2407,"06,07,08,SE",MANHATTAN,528,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000069D5503C527E52C02022C4FDC5654440,03M250      ,M,1,M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,Junior High-Intermediate-Middle,1,3,3,735 WEST END AVENUE,NY,10025,JEANNE ROTUNDA,212-866-6313,212-678-5295,"06,07,08,SE",MANHATTAN,529,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000615BDB8D177A52C05E878D5763694440,08X140      ,X,2,X140,P.S. 140 EAGLE,Elementary,1,8,8,916 EAGLE AVENUE,NY,10456,PAUL CANNON,718-585-1205,718-292-1349,"PK,0K,01,02,03,04,05,SE",BRONX,1164,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000ED400CBFD17E52C0ECCB7076185E4440,02M255      ,M,1,M255,M.S. 255 SALK SCHOOL OF SCIENCE,Junior High-Intermediate-Middle,1,2,2,319 EAST 19 STREET,NY,10003,Rhonda Perry,212-614-8785,212-614-0095,"06,07,08,SE",MANHATTAN,530,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000663C89D7277E52C0952A56DC54654440,03M256      ,M,1,M256,M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE,Junior High-Intermediate-Middle,1,3,3,154 WEST  93 STREET,NY,10025,Jeffrey S. Perl,212-222-2857,212-531-0586,"06,07,08,SE",MANHATTAN,531,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000E4D58ECF237E52C04996BBB550654440,03M258      ,M,1,M258,M.S. 258 COMMUNITY ACTION SCHOOL,Junior High-Intermediate-Middle,1,3,3,154 WEST  93 STREET,NY,10025,JOHN CURRY,212-678-5888,212-961-1613,"06,07,08,SE",MANHATTAN,532,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000008C6ED25CDD7F52C0AED0063B6E604440,02M260      ,M,1,M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,Junior High-Intermediate-Middle,1,2,2,425 WEST 33RD STREET,NY,10001,JOSEPH ANDERSON,212-695-9114,212-695-9611,"06,07,08,SE",New York,533,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000231552215B7A52C062F83125886F4440,06M278      ,M,1,M278,P.S./I.S. 278,K-8,1,6,6,421 W 219TH ST,NY,10034,MAUREEN GUIDO,212-942-3440,NULL,"0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,534,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000077E27FBB267D52C06E4B3C239F664440,84M279,M,1,M279,THE OPPORTUNITY CHARTER SCHOOL,Secondary School,2,3,84,240 WEST 113 STREET,NY,10026,Marya Baker,212-866-6137,212-665-7436,"06,07,08,09,10,11,12,SE",MANHATTAN,535,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000001B7E20450C7F52C0EB00494225634440,03M283      ,M,1,M283,MANHATTAN THEATRE LAB HIGH SCHOOL,High school,1,3,3,122 AMSTERDAM AVENUE,NY,10023,EVELYN COLLINS,212-362-2075,212-362-9031,"09,10,11,12,SE",MANHATTAN,536,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000002F35932F357C52C0DB66D3B62C674440,84M284,M,1,M284,HARLEM CHILDREN'S ZONE/PROMISE ACADEMY CHARTER SCH,K-12 all grades,2,5,84,35 EAST 125TH STREET,NY,10035,Tonya White/Dennis McKesey,212-368-3470,212-289-0661,"0K,01,02,03,04,05,06,07,10,11",MANHATTAN,537,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000000C61547287C52C090CCAEDD64674440,05M285      ,M,1,M285,HARLEM RENAISSANCE HIGH SCHOOL,High school,1,5,5,22 EAST 128 STREET,NY,10035,Nadav Zeimer,212-996-3795,212-996-4354,"09,10,11,12,SE",MANHATTAN,538,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000D341ACEF2E7D52C015E6DD1E6A684440,05M286      ,M,1,M286,I.S. M286 RENAISSANCE MILITARY LEADERSHIP ACADEMY,Junior High-Intermediate-Middle,1,5,5,509 WEST 129 STREET,NY,10027,QADIR BEN DIXON,212-690-5972,212-694-4124,"06,07,08,SE",MANHATTAN,539,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000000F44D2658D7F52C0D9339883FA614440,02M288      ,M,1,M288,FOOD AND FINANCE HIGH SCHOOL,High school,1,2,2,525 WEST  50TH STREET,NY,10019,ROGER TURGEON,212-586-2943,212-586-4205,"09,10,11,12,SE",MANHATTAN,540,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000003122835CDF8052C02D4F6D94CD5B4440,02M289      ,M,1,M289,I.S. 289,Junior High-Intermediate-Middle,1,2,2,201 WARREN STREET,NY,10282,ELLEN FOOTE,212-571-9268,212-587-6610,"06,07,08,SE",MANHATTAN,541,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000007C8EECBDFA7C52C082AF019637634440,02M290      ,M,1,M290,P.S. 290 MANHATTAN NEW SCHOOL,Elementary,1,2,2,311 EAST  82 STREET,NY,10028,SHARON HILL,212-734-7127,212-772-8879,"0K,01,02,03,04,05,SE",MANHATTAN,542,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000F82973AA247F52C0C04EE07A505B4440,01M292      ,M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,Secondary School,1,1,1,220 HENRY STREET,NY,10002,Erin Balet,212-406-9411,212-406-9417,"06,07,08,09,10,11,12,SE",MANHATTAN,543,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000006CCC3328867B52C0063038FC336E4440,06M293      ,M,1,M293,CITY COLLEGE ACADEMY OF THE ARTS,Secondary School,1,6,6,4600 BROADWAY,NY,10040,Bernadette Drysdale,212-567-3164,212-567-3958,"06,07,08,09,10,11,SE",MANHATTAN,544,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000078D1AEA0517F52C0976C5F46C65B4440,02M294      ,M,1,M294,ESSEX STREET ACADEMY,High school,1,2,2,350 GRAND STREET,NY,10002,Erin Carstensen,212-475-4773,212-674-2058,"09,10,11,12,SE",MANHATTAN,545,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000006C71729F917F52C038629737FE614440,02M296      ,M,1,M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,High school,1,2,2,525 WEST  50TH STREET,NY,10019,MATTHEW CORALLO,212-586-1819,212-586-2713,"09,10,11,12,SE",MANHATTAN,546,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000DD79019E957F52C08CE3FE6AB25B4440,02M298      ,M,1,M298,PACE HIGH SCHOOL,High school,1,2,2,100 HESTER STREET,NY,10002,YVETTE SY,212-334-4663,212-334-4919,"09,10,11,12,SE",MANHATTAN,547,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000057BA38AC117F52C054AB2B5E29634440,03M299      ,M,1,M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",High school,1,3,3,122 AMSTERDAM AVENUE,NY,10023,STEPHEN NOONAN,212-799-4064,212-799-4171,"09,10,11,12,SE",MANHATTAN,548,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000008FFBF58957F52C0FE4A4C4401624440,02M300      ,M,1,M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,",High school,1,2,2,525 WEST  50TH STREET,NY,10019,Matthew Willoughby,212-586-0981,212-586-1731,"09,10,11,12,SE",MANHATTAN,549,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000E368AC69FA7E52C0D73FB7D86D5D4440,01M301      ,M,1,M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",Junior High-Intermediate-Middle,1,1,1,185 1 AVENUE,NY,10003,GEORGE MORGAN,212-982-1836,212-982-0528,"06,07,08,SE",MANHATTAN,550,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000CD02687EA17C52C0752681BB97684440,05M302      ,M,1,M302,KAPPA IV,Junior High-Intermediate-Middle,1,5,5,6 EDGECOMBE AVENUE,NY,10030,BRIONY CARR,212-690-4963,212-690-8056,"06,07,08,SE",MANHATTAN,551,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000005B40BDD18A7F52C08C9B312D00624440,02M303      ,M,1,M303,"FACING HISTORY SCHOOL, THE",High school,1,2,2,525 WEST  50TH STREET,NY,10019,"SMITH, GILLIAN",212-757-2680,212-757-2156,"09,10,11,12,SE",MANHATTAN,552,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000000BE8E5FFA17C52C0C716AB579E684440,05M304      ,M,1,M304,MOTT HALL HIGH SCHOOL,High school,1,5,5,6 EDGECOMBE AVENUE,NY,10030,Altagracia Villalona,212-690-5501,212-690-5047,"09,10,11,12,SE",MANHATTAN,553,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000058A58116567F52C0695CDF17C95B4440,02M305      ,M,1,M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",High school,1,2,2,350 GRAND STREET,NY,10002,DAVID GLASNER,212-505-0745,212-674-8021,"09,10,11,12,SE",MANHATTAN,554,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000813E5013177F52C00B5228C52D634440,03M307      ,M,1,M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",High school,1,3,3,122 AMSTERDAM AVENUE,NY,10023,CORDELIA VEVE,212-501-1110,212-580-0156,"09,10,11,12,SE",MANHATTAN,555,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000036613D11547F52C0928E2771D25B4440,02M308      ,M,1,M308,LOWER MANHATTAN ARTS ACADEMY,High school,1,2,2,350 GRAND STREET,NY,10002,JOHN WENK,212-505-0143,212-674-8021,"09,10,11,12,SE",MANHATTAN,556,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000078748D6C237B52C0CEA1D348E66E4440,06M311      ,M,1,M311,AMISTAD DUAL LANGUAGE SCHOOL,K-8,1,6,6,4862 BROADWAY,NY,10034,MIRIAM PEDRAJA,212-544-8021,212-569-7765,"0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,557,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000CE5951A7218052C0B0D1C1E9025F4440,02M312      ,M,1,M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE,Junior High-Intermediate-Middle,1,2,2,333 WEST  17 STREET,NY,10011,MEGAN ADAMS,212-691-6119,212-691-6219,"06,07,08,SE",MANHATTAN,558,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000A556F564288052C08BD32E202D5F4440,02M313      ,M,1,M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITION",High school,1,2,2,351 WEST  18 STREET,NY,10011,Elijah Hawkes,212-627-2812,212-627-9803,"09,10,11,12,SE",MANHATTAN,559,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000025EECD5A1F7B52C0B16AF45DE96E4440,06M314      ,M,1,M314,MUSCOTA,Elementary,1,6,6,4862 BROADWAY,NY,10034,CAMILLE WALLIN,212-544-0614,212-544-2678,"0K,01,02,03,04,05,SE",MANHATTAN,560,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000465FE6FDA07E52C03CA179D6265D4440,01M315      ,M,1,M315,THE EAST VILLAGE COMMUNITY SCHOOL,Elementary,1,1,1,610 EAST  12 STREET,NY,10009,ROBIN WILLIAMS,212-982-0682,212-260-4012,"PK,0K,01,02,03,04,05,SE",MANHATTAN,561,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000027EC395BD48052C07EDB4A5E4B5A4440,02M316      ,M,1,M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,",High school,1,2,2,26 BROADWAY,NY,10004,PATRICIA MINAYA,212-668-0169,212-668-0635,"09,10,11,12,SE",NEW YORK,562,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000CB041D67047C52C065CF95DEB6694440,05M318      ,M,1,M318,THURGOOD MARSHALL ACADEMY LOWER SCHOOL,Elementary,1,5,5,276 WEST 151ST STREET,NY,10039,SEAN DAVENPORT,212-368-8731,212-368-8641,"0K,01,02,03,04,05",MANHATTAN,563,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000000BDD06C7E57B52C023D514FA6C6B4440,06M319      ,M,1,M319,M.S. 319 - MARIA TERESA,Junior High-Intermediate-Middle,1,6,6,21 JUMEL PLACE,NY,10032,YSIDRO ABREU,212-923-3827,212-923-3676,"06,07,08,SE",MANHATTAN,564,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000002A2B69D9F97E52C0C80C8618F35B4440,84M320,M,1,M320,MANHATTAN CHARTER SCHOOL,Elementary,2,1,84,100 ATTORNEY STREET,NY,10002,Genie DePolo,212-533-2743,212-533-2820,"0K,01,02,03,04,05",MANHATTAN,565,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000018390686847B52C038E75F953A6E4440,06M322      ,M,1,M322,MIDDLE SCHOOL 322,Junior High-Intermediate-Middle,1,6,6,4600 BROADWAY,NY,10040,ERICA ZIGELMAN,212-304-0853,212-567-3016,"06,07,08,SE",MANHATTAN,566,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000C8706500E37B52C06E619EA9756B4440,06M324      ,M,1,M324,M.S. 324 - PATRIA,Junior High-Intermediate-Middle,1,6,6,21 JUMEL PLACE,NY,10032,JANET HELLER,212-923-4057,212-923-4626,"06,07,08,SE",MANHATTAN,567,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000B4C38690F47C52C0838F944111694440,06M325      ,M,1,M325,P.S. 325,Elementary,1,6,6,500 WEST 138 STREET,NY,10031,Gary H. Cruz,212-234-1335,212-234-2022,"0K,01,02,03,04,05,SE",MANHATTAN,568,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
